in millions,Consolidated Balance Sheet Classification,"August 3 , 2025","February 2 , 2025"
Assets:,,,
Operating lease assets,Operating lease right-of-use assets,"$  8 , 662","$  8 , 592"
Finance lease assets  (1),Net property and equipment,"2 , 632","2 , 638"
Total lease assets,,"$  11 , 294","$  11 , 230"
Liabilities:,,,
Current:,,,
Operating lease liabilities,Current operating lease liabilities,"$  1 , 336","$  1 , 274"
Finance lease liabilities,Current installments of long-term debt,287,272
Long-term:,,,
Operating lease liabilities,Long-term operating lease liabilities,"7 , 668","7 , 633"
Finance lease liabilities,"Long-term debt ,  excluding current installments","2 , 727","2 , 749"
Total lease liabilities,,"$  12 , 018","$  11 , 928"
