Term,Definition
Comparable sales,As defined in the Results of Operations section of MD&A
Exchange Act,"Securities Exchange Act of 1934 ,  as amended"
fiscal 2023,"Fiscal year ended January 28 ,  2024 (includes 52 weeks)"
fiscal 2024,"Fiscal year ended February 2 ,  2025 (includes 53 weeks)"
fiscal 2025,"Fiscal year ending February 1 ,  2026 (includes 52 weeks)"
GAAP,U . S .  generally accepted accounting principles
GMS,GMS Inc .
MD&A,Management ’ s Discussion and Analysis of Financial Condition and Results of Operations
NOPAT,Net operating profit after tax
Restoration Plans,Home Depot FutureBuilder Restoration Plan and HD Supply Restoration Plan
ROIC,Return on invested capital
SEC,Securities and Exchange Commission
Securities Act,"Securities Act of 1933 ,  as amended"
SG&A,"Selling ,  general ,  and administrative expenses"
SRS,SRS Distribution Inc .
2024 Form 10 - K,"Annual Report on Form 10-K for fiscal 2024 as filed with the SEC on March 21 ,  2025"
